domain,m_p,m_e,v_p,r_p,omega_p,tau_p,v_e,r_e,omega_e,miss_distance
terrestrial,144.88,21.67,16.966695000791148,23.857250296269058,0.7111756296342543,0.20069713885851878,16.142481825198526,21.595660598266637,0.7474872904093609,2.9562119167463377
terrestrial,144.88,270.0,16.966695000791148,23.857250296269058,0.7111756296342543,0.20069713885851878,15.747415783762136,20.55154470439827,0.7662400082458037,2.8012579234792123
terrestrial,144.88,135.0,16.966695000791148,23.857250296269058,0.7111756296342543,0.20069713885851878,17.069319203532565,24.146727503218518,0.7068998977711326,3.4627330651039516
terrestrial,144.88,296.25,16.966695000791148,23.857250296269058,0.7111756296342543,0.20069713885851878,15.526850172976857,19.97986758940781,0.7771247784048534,2.7244949005906864
terrestrial,53.7,368.5,17.50599584717814,25.398000265318974,0.6892667006970079,0.17466118406163192,14.979732250906713,18.596618541628725,0.8055083894620103,2.124086214099672
terrestrial,53.7,54.95,17.50599584717814,25.398000265318974,0.6892667006970079,0.17466118406163192,17.51762994246339,25.431769374297833,0.6888089336075559,3.061225056180253
terrestrial,53.7,61.94,17.50599584717814,25.398000265318974,0.6892667006970079,0.17466118406163192,17.558716508415642,25.551206701549606,0.6871971532894671,3.0881418998239267
terrestrial,53.7,21.98,17.50599584717814,25.398000265318974,0.6892667006970079,0.17466118406163192,16.175781081971504,21.684849010207536,0.7459485226001439,2.442272044116915
terrestrial,5.5,0.05,12.202605715889268,12.340451195267267,0.9888297861077507,0.12695528259471758,3.8163026668232165,1.2070117637388422,3.161777524853469,0.4049022058895708
terrestrial,5.5,0.18,12.202605715889268,12.340451195267267,0.9888297861077507,0.12695528259471758,5.241738904088787,2.2770714086868313,2.3019650960843845,0.529951746012469
terrestrial,5.5,0.02,12.202605715889268,12.340451195267267,0.9888297861077507,0.12695528259471758,3.041214139502336,0.7665136323735472,3.9675930225599076,0.3338433097357563
terrestrial,5.5,1.17,12.202605715889268,12.340451195267267,0.9888297861077507,0.12695528259471758,8.334644604787982,5.757050685638632,1.4477281962410615,0.8159377887406415
terrestrial,4.59,0.03,11.680492774772544,11.30702132895035,1.033030046990887,0.12378093987092831,3.3626087742674966,0.937084091128246,3.58837462518324,0.3534418270691357
terrestrial,4.59,0.03,11.680492774772544,11.30702132895035,1.033030046990887,0.12378093987092831,3.3626087742674966,0.937084091128246,3.58837462518324,0.3534418270691357
terrestrial,4.59,4.0,11.680492774772544,11.30702132895035,1.033030046990887,0.12378093987092831,11.294571438337526,10.572200589717626,1.0683273877079542,1.2960362245616466
terrestrial,4.59,0.03,11.680492774772544,11.30702132895035,1.033030046990887,0.12378093987092831,3.3626087742674966,0.937084091128246,3.58837462518324,0.3534418270691357
terrestrial,5.5,0.05,12.202605715889268,12.340451195267267,0.9888297861077507,0.12695528259471758,3.8163026668232165,1.2070117637388422,3.161777524853469,0.4049022058895708
terrestrial,5.5,0.1804331,12.202605715889268,12.340451195267267,0.9888297861077507,0.12695528259471758,5.24486094983858,2.279784721343051,2.300594832808935,0.5302366594634261
terrestrial,4.59,1.9,11.680492774772544,11.30702132895035,1.033030046990887,0.12378093987092831,9.398364473663431,7.320326428136123,1.2838723198927635,0.9281422950620701
terrestrial,5.5,0.02,12.202605715889268,12.340451195267267,0.9888297861077507,0.12695528259471758,3.041214139502336,0.7665136323735472,3.9675930225599076,0.3338433097357563
terrestrial,150.0,5.0,16.913175273825512,23.706977105089603,0.7134260601362987,0.20167533000884288,11.925512708283584,11.78636809588965,1.0118055546256408,1.910005732776054
terrestrial,150.0,500.0,16.913175273825512,23.706977105089603,0.7134260601362987,0.20167533000884288,14.164393582456485,16.627304605283676,0.8518755095131565,2.3622664338324495
terrestrial,60.0,2.0,17.550978091971327,25.528689986562366,0.6875001459616495,0.17739491841850727,9.518515098802004,7.508691950815222,1.267666214189087,1.3004673865079786
terrestrial,60.0,250.0,17.550978091971327,25.528689986562366,0.6875001459616495,0.17739491841850727,15.924031269737716,21.015122438492707,0.757741541423056,2.4005176496270386
terrestrial,30.0,20.0,16.820528427559644,23.447964710171476,0.7173555843959062,0.1609892865207204,15.948905732077462,21.080827929911678,0.7565597416336524,2.284404946085569
terrestrial,30.0,250.0,16.820528427559644,23.447964710171476,0.7173555843959062,0.1609892865207204,15.924031269737716,21.015122438492707,0.757741541423056,2.2755850360294474
terrestrial,60.0,1.0,17.550978091971327,25.528689986562366,0.6875001459616495,0.17739491841850727,8.016653706160765,5.326134493962618,1.505154200527222,1.116318396264508
terrestrial,60.0,100.0,17.550978091971327,25.528689986562366,0.6875001459616495,0.17739491841850727,17.404802597132814,25.105223096157157,0.6932741657172111,3.0135202019924447
terrestrial,50.0,1.0,17.46223202204586,25.27117237195858,0.690994140082805,0.17292421012560372,8.016653706160765,5.326134493962618,1.505154200527222,1.082918118432306
terrestrial,50.0,100.0,17.46223202204586,25.27117237195858,0.690994140082805,0.17292421012560372,17.404802597132814,25.105223096157157,0.6932741657172111,2.977634360547798
terrestrial,15.0,0.5,15.187721755417188,19.116621675241998,0.794477288583205,0.14610086131839656,6.7516251521562225,3.777830999994077,1.787169715153168,0.769199238323197
terrestrial,15.0,11.0,15.187721755417188,19.116621675241998,0.794477288583205,0.14610086131839656,14.285926763544074,16.913859550429283,0.8446284374627842,1.8366611853122743
terrestrial,16.0,0.1,15.366342382844142,19.56892156061031,0.7852421675487007,0.14742692172911012,4.5313505578852435,1.7016929695471608,2.662848492046768,0.5553995111679858
terrestrial,16.0,10.0,15.366342382844142,19.56892156061031,0.7852421675487007,0.14742692172911012,13.999478780331513,16.242378038085604,0.8619106603420462,1.748279163110397
terrestrial,4.0,0.01,11.294571438337526,10.572200589717626,1.0683273877079542,0.1214194884395047,2.5613100294716076,0.543688543055605,4.710987682537303,0.2737247790128411
terrestrial,4.0,3.0,11.294571438337526,10.572200589717626,1.0683273877079542,0.1214194884395047,10.522687365494082,9.176545369494276,1.1466937656598752,1.1248292534666373
terrestrial,10.0,1.0,13.999478780331513,16.242378038085604,0.8619106603420462,0.1380384264602885,8.016653706160765,5.326134493962618,1.505154200527222,0.8444419337961174
terrestrial,10.0,3.0,13.999478780331513,16.242378038085604,0.8619106603420462,0.1380384264602885,10.522687365494082,9.176545369494276,1.1466937656598752,1.1220742820691907
terrestrial,8.0,0.1,13.323255579554015,14.71114917067512,0.9056570241373325,0.13379275547861122,4.5313505578852435,1.7016929695471608,2.662848492046768,0.49679854212161884
terrestrial,8.0,2.0,13.323255579554015,14.71114917067512,0.9056570241373325,0.13379275547861122,9.518515098802004,7.508691950815222,1.267666214189087,0.9792088555539712
aerial,0.35,0.205,28.215688383344123,16.01912450396318,1.7613751847901222,0.08633154759228653,25.60558177171319,13.402959822502265,1.9104423284716494,1.8202838626404014
aerial,0.35,0.11,28.215688383344123,16.01912450396318,1.7613751847901222,0.08633154759228653,22.87042273461445,10.891315120759868,2.0998770562630473,1.4437963549176416
